"Stores configuration","Store Konfiguration"
"Products attributes","Produkte Attribute"
"Categories attributes","Kategorie Attribute"
"Languager product's attributes management","Languager Produkte Attribute verwalten"
"Languager category's attributes management","Languager Kategorie Attribute verwalten"
"Not translated","Nicht übersetzt"
"Translated","Wird übersetzt"
"Languager store management","Languager Store verwalten"
"Store/Language mapping","Store/Sprache mappen"
"Stores configuration have been saved","Stores Konfiguration gespeichert"
"Attributes have been saved","Attributes Konfiguration gespeichert"
"Product's attributes","Produkte Attribute"
"Category's attributes","Kategorie Attribute"
"Developer options","Entwickler Optionen"
"Attributes values saved in stores","Attribute werte in folgenden Stores gespeichert"