"Stores configuration","Configuration des stores"
"Products attributes","Attributs des produits"
"Categories attributes","Attributs des catégories"
"Languager product's attributes management","Languager gestion des attributs des produit"
"Languager category's attributes management","Languager gestion des attributs des catégories"
"Not translated","Non traduit"
"Translated","Traduit"
"Languager store management","Languager gestion des stores"
"Store/Language mapping","Mapping store/langue"
"Stores configuration have been saved","Configuration des stores sauvegardée"
"Attributes have been saved","Configuration des attributs sauvegardée"
"Product's attributes","Attributs des produits"
"Category's attributes","Attributs des catégories"
"Developer options","Option pour développeur"
"Attributes values saved in stores","Valeur des attributs sauvegardée dans les stores"
"*** Chose a language ***", "*** Choisissez une langue ***"